s_date,time,receipt_no,member_code,member_type,product_code,unit,quan,price,netextvat,nettotal,r_vatamt,unitcost,totalcost
03 01 2020,10:18:15,53688,,,8.86E+12,PK,10,125,1250,1250,0,92,920
03 01 2020,10:18:29,53688,,,8.86E+12,PK,1,415,415,415,0,382.6779,382.68
03 01 2020,10:19:30,53689,,,8.86E+12,PK,1,415,415,415,0,382.6779,382.68
03 01 2020,10:19:47,53689,,,8.86E+12,PK,7,125,875,875,0,92,644
03 01 2020,10:19:59,53689,,,8.86E+12,PK,3.61,150,541.5,541.5,0,101.9994,368.22
03 01 2020,10:46:58,53690,10610,2,8.86E+12,KG,50,35,1750,1750,0,29.5,1475
03 01 2020,10:48:29,53691,10525,4,8.86E+12,PK,2,415,830,830,0,382.6779,765.36
03 01 2020,10:52:55,53692,,,8.86E+12,PK,10,48,480,480,0,30,300
03 01 2020,10:54:33,53692,,,8.86E+12,PK,2,135,270,270,0,98,196
03 01 2020,12:18:53,53693,,,8.85E+12,PK,5,125,584.11,625,40.89,93.6566,468.28
03 01 2020,12:20:36,53694,,,8.86E+12,PK,2,140,280,280,0,104,208
03 01 2020,12:20:44,53694,,,8.86E+12,PK,6,120,720,720,0,90,540
03 01 2020,12:47:29,53695,10505,2,8.86E+12,PK,30,45,1350,1350,0,30,900
03 01 2020,12:49:21,53696,,,8.86E+12,PK,1,140,140,140,0,99.2656,99.27
03 01 2020,13:41:33,53697,,,8.85E+12,PK,2,100,186.92,200,13.08,83.4584,166.92
03 01 2020,13:43:32,53698,,,1.83E+12,PK,1,145,145,145,0,110.3274,110.33
03 01 2020,14:32:07,53699,,,8.85E+12,PK,1,125,116.82,125,8.18,93.6566,93.66
03 01 2020,14:36:55,53700,10550,2,8.86E+12,PK,10,25,250,250,0,14,140
03 01 2020,14:37:37,53700,10550,2,8.86E+12,KG,24.8,68,1686.5,1686.5,0,55,1364
03 01 2020,14:41:49,53701,,,8.86E+12,PK,11.6,145,1682,1682,0,102,1183.2
03 01 2020,14:45:43,53702,,,8.86E+12,PK,10,130,1300,1300,0,98,980
03 01 2020,14:45:52,53702,,,8.86E+12,PK,10,130,1300,1300,0,95.2686,952.69
03 01 2020,14:46:01,53702,,,8.86E+12,PK,3,90,270,270,0,69,207
03 01 2020,14:47:30,53703,,,8.85E+12,PK,1,125,116.82,125,8.18,93.6566,93.66
03 01 2020,14:47:37,53703,,,8.85E+12,PK,1,190,177.57,190,12.43,142.0569,142.06
03 01 2020,14:54:37,53704,,,8.86E+12,PK,1,108,108,108,0,80.4,80.4
03 01 2020,14:54:49,53704,,,8.86E+12,PK,2,78,156,156,0,60.5881,121.18
03 01 2020,14:56:34,53705,10603,4,2.99E+12,PK,150,90,13500,13500,0,72.879,10931.85
03 01 2020,14:56:41,53705,10603,4,2.99E+12,PK,150,78,11700,11700,0,72.8912,10933.68
03 01 2020,14:56:53,53705,10603,4,2.99E+12,PK,200,69,13800,13800,0,72.896,14579.2
03 01 2020,14:57:08,53705,10603,4,2.99E+12,PK,300,66,19800,19800,0,72.8929,21867.87
03 01 2020,14:57:18,53705,10603,4,2.99E+12,PK,150,60,9000,9000,0,72.8739,10931.09
03 01 2020,15:11:22,53706,10565,2,8.86E+12,PK,15,148,2220,2220,0,106,1590
03 01 2020,15:11:33,53706,10565,2,8.86E+12,PK,5,130,650,650,0,92,460
03 01 2020,15:15:23,53707,10605,4,8.86E+12,PK,40,65,2600,2600,0,42,1680
03 01 2020,15:31:21,53708,,,8.86E+12,PK,1,140,140,140,0,104,104
03 01 2020,16:13:03,53709,,,8.86E+12,PK,1,140,140,140,0,99.2656,99.27
03 01 2020,16:17:06,53710,,,8.86E+12,PK,1,102,102,102,0,80.5368,80.54
03 01 2020,16:18:13,53711,,,8.85E+12,PK,4,185,691.59,740,48.41,142.0569,568.23
03 01 2020,16:21:41,53712,,,8.86E+12,PK,1,155,155,155,0,109,109
03 01 2020,17:21:58,53713,,,8.86E+12,PK,1.9,165,313.5,313.5,0,102,193.8
03 01 2020,17:22:05,53713,,,8.85E+12,PK,1,220,205.61,220,14.39,166.028,166.03
05 01 2020,08:23:33,53714,10609,2,8.86E+12,PK,3,90,270,270,0,69,207
05 01 2020,08:23:45,53714,10609,2,8.86E+12,KG,3,140,420,420,0,106,318
05 01 2020,08:23:55,53714,10609,2,8.86E+12,PK,3,135,405,405,0,98,294
05 01 2020,08:24:02,53714,10609,2,8.86E+12,PK,2,140,280,280,0,104,208
05 01 2020,08:36:11,53715,,,8.86E+12,PK,1,135,135,135,0,98,98
05 01 2020,08:36:17,53715,,,8.85E+12,PK,1,220,205.61,220,14.39,166.028,166.03
05 01 2020,08:36:35,53715,,,8.86E+12,PK,1,57,57,57,0,28.5685,28.57
05 01 2020,08:41:36,53716,10599,2,8.85E+12,PK,2,220,411.21,440,28.79,166.028,332.06
05 01 2020,08:41:40,53716,10599,2,8.85E+12,PK,1,190,177.58,190,12.42,142.0569,142.06
05 01 2020,08:57:22,53717,10581,2,8.86E+12,PK,30,45,1350,1350,0,30,900
05 01 2020,08:57:29,53717,10581,2,8.86E+12,PK,5,135,675,675,0,98,490
05 01 2020,09:06:37,53718,,,8.86E+12,PK,1,135,135,135,0,98,98
05 01 2020,09:06:42,53718,,,8.85E+12,PK,1,100,93.46,100,6.54,83.4584,83.46
05 01 2020,09:12:10,53719,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
05 01 2020,09:12:40,53720,,,8.86E+12,PK,20,140,2800,2800,0,104,2080
05 01 2020,09:20:42,53721,10589,2,8.86E+12,PK,15,45,675,675,0,30,450
05 01 2020,09:32:17,53722,,,8.85E+12,PK,1,130,121.5,130,8.5,97.6644,97.66
05 01 2020,09:32:24,53722,,,8.85E+12,PK,2,125,233.64,250,16.36,93.6566,187.31
05 01 2020,09:32:43,53722,,,8.85E+12,PK,3,205,574.77,615,40.23,166.028,498.08
05 01 2020,09:35:41,53723,,,1.71E+12,PK,12,100,1121.5,1200,78.5,77.57,930.84
05 01 2020,09:35:47,53723,,,8.86E+12,KG,1,100,93.45,100,6.55,74.7283,74.73
05 01 2020,09:56:32,53724,10616,1,8.86E+12,PK,7,120,840,840,0,89.9997,630
05 01 2020,10:03:47,53725,10573,2,8.86E+12,PK,3.88,150,582,582,0,101.9997,395.76
05 01 2020,10:03:53,53725,10573,2,8.86E+12,PK,4,100,400,400,0,92,368
05 01 2020,10:12:46,53726,10578,2,8.86E+12,KG,16.3,68,1108.5,1108.5,0,55,896.5
05 01 2020,10:12:55,53726,10578,2,8.85E+12,PK,1,100,93.46,100,6.54,83.4584,83.46
05 01 2020,10:22:45,53727,10520,2,8.85E+12,PK,10,205,1915.89,2050,134.11,166.028,1660.28
05 01 2020,10:22:50,53727,10520,2,8.85E+12,PK,10,120,1121.49,1200,78.51,97.6644,976.64
05 01 2020,10:22:59,53727,10520,2,8.86E+12,PK,2,445,890,890,0,381.596,763.19
05 01 2020,10:24:16,53728,10573,2,8.86E+12,PK,4.27,150,640.5,640.5,0,101.9997,435.54
05 01 2020,10:28:30,53729,10575,2,8.85E+12,PK,3,100,280.37,300,19.63,83.4584,250.38
05 01 2020,10:28:58,53729,10575,2,8.86E+12,PK,11,53,583,583,0,28.5685,314.25
05 01 2020,10:29:48,53729,10575,2,1.71E+12,PK,2,115,214.96,230,15.04,77.57,155.14
05 01 2020,10:33:03,53730,10511,4,8.86E+12,PK,1,495,495,495,0,381.745,381.75
05 01 2020,10:35:42,53731,10551,2,8.86E+12,PK,4.38,145,635,635,0,102.0003,446.76
05 01 2020,10:35:50,53731,10551,2,8.85E+12,PK,1,220,205.61,220,14.39,166.028,166.03
05 01 2020,10:36:55,53732,10587,2,8.86E+12,KG,5,140,700,700,0,106,530
05 01 2020,10:37:57,53733,10590,2,8.86E+12,PK,25,45,1125,1125,0,30,750
05 01 2020,10:38:08,53733,10590,2,8.86E+12,PK,6,135,810,810,0,98,588
05 01 2020,10:38:18,53733,10590,2,8.86E+12,PK,4,83,332,332,0,65.5788,262.32
05 01 2020,10:38:27,53733,10590,2,8.86E+12,PK,10,3.75,37.5,37.5,0,1.8537,18.54
05 01 2020,10:39:36,53734,10583,2,8.86E+12,PK,3,140,420,420,0,95.9631,287.89
05 01 2020,10:39:44,53734,10583,2,8.86E+12,PK,9,68,612,612,0,61,549
05 01 2020,10:40:55,53735,10550,2,8.86E+12,PK,23.6,68,1604.75,1604.75,0,55,1298
05 01 2020,10:41:02,53735,10550,2,8.86E+12,PK,5,25,125,125,0,14,70
05 01 2020,10:41:13,53735,10550,2,8.86E+12,PK,1,400,400,400,0,381,381
05 01 2020,10:42:14,53736,,,8.86E+12,PK,5.3,140,742,742,0,88,466.4
05 01 2020,10:42:21,53736,,,8.86E+12,PK,5,135,675,675,0,98,490
05 01 2020,10:42:31,53736,,,8.86E+12,PK,5,87,435,435,0,80.4207,402.1
05 01 2020,10:44:50,53737,10591,2,8.86E+12,PK,10,25,250,250,0,12.3255,123.26
05 01 2020,11:17:40,53738,,,8.86E+12,KG,10,35,350,350,0,29.5,295
05 01 2020,11:18:17,53738,,,2.99E+12,PK,1,90,90,90,0,72.9,72.9
05 01 2020,11:18:48,53738,,,8.86E+12,PK,10,25,250,250,0,12.3255,123.26
05 01 2020,11:20:11,53739,10584,2,8.86E+12,PK,2,140,280,280,0,95.9631,191.93
05 01 2020,11:20:21,53739,10584,2,8.86E+12,ก้อน,10,3.75,37.5,37.5,0,1.8537,18.54
05 01 2020,11:20:30,53739,10584,2,8.86E+12,PK,1,28,28,28,0,15.2261,15.23
05 01 2020,11:20:40,53739,10584,2,8.86E+12,PK,1,135,135,135,0,95.1529,95.15
05 01 2020,11:21:17,53739,10584,2,8.86E+12,PK,16.2,68,1101.5,1101.5,0,55,891
05 01 2020,11:23:07,53740,,,8.86E+12,PK,1,400,400,400,0,381,381
05 01 2020,11:24:42,53741,10504,2,8.86E+12,PK,5,390,1950,1950,0,381,1905
05 01 2020,11:24:47,53741,10504,2,8.86E+12,PK,5,48,240,240,0,30,150
05 01 2020,11:24:59,53741,10504,2,8.85E+12,PK,3,100,280.37,300,19.63,83.4584,250.38
05 01 2020,11:25:07,53741,10504,2,8.86E+12,PK,5,130,650,650,0,92,460
05 01 2020,11:25:22,53741,10504,2,8.86E+12,PK,7.34,158,1083.88,1159.75,75.87,157.0156,1152.49
05 01 2020,11:53:40,53742,10614,2,2.99E+12,PK,10,90,900,900,0,72.9,729
05 01 2020,11:53:46,53742,10614,2,2.99E+12,PK,20,81,1620,1620,0,72.8992,1457.98
05 01 2020,11:54:43,53742,10614,2,2.99E+12,PK,20,75,1500,1500,0,72.9,1458
05 01 2020,11:56:02,53743,10512,4,2.99E+12,PK,10,90,900,900,0,72.9,729
05 01 2020,11:56:37,53743,10512,4,2.99E+12,PK,30,66,1980,1980,0,72.9,2187
05 01 2020,11:57:43,53744,,,2.99E+12,PK,10,90,900,900,0,72.9,729
05 01 2020,11:57:48,53744,,,2.99E+12,PK,20,75,1500,1500,0,72.9,1458
05 01 2020,11:58:04,53744,,,2.99E+12,PK,10,72,720,720,0,72.9,729
05 01 2020,11:59:16,53745,10518,4,2.99E+12,PK,10,90,900,900,0,72.9,729
05 01 2020,12:00:15,53745,10518,4,2.99E+12,PK,70,81,5670,5670,0,72.8992,5102.94
05 01 2020,11:59:27,53745,10518,4,2.99E+12,PK,20,75,1500,1500,0,72.9,1458
05 01 2020,11:59:33,53745,10518,4,2.99E+12,PK,20,66,1320,1320,0,72.9,1458
05 01 2020,12:01:55,53746,10548,2,2.99E+12,PK,10,90,900,900,0,72.9,729
05 01 2020,12:02:02,53746,10548,2,2.99E+12,PK,50,81,4050,4050,0,72.8992,3644.96
05 01 2020,12:02:10,53746,10548,2,2.99E+12,PK,100,66,6600,6600,0,72.9,7290
05 01 2020,12:03:04,53746,10548,2,2.99E+12,PK,50,60,3000,3000,0,72.9,3645
05 01 2020,12:03:10,53746,10548,2,2.99E+12,PK,20,57,1140,1140,0,72.9,1458
05 01 2020,12:04:50,53747,10595,2,8.86E+12,PK,40,45,1800,1800,0,30,1200
05 01 2020,12:06:57,53748,10598,2,8.86E+12,PK,5.6,145,812,812,0,102.0003,571.2
05 01 2020,12:07:25,53748,10598,2,8.86E+12,PK,15.58,150,2337,2337,0,101.9997,1589.16
05 01 2020,12:07:35,53748,10598,2,8.86E+12,PK,6.1,140,854,854,0,88,536.8
05 01 2020,12:07:42,53748,10598,2,8.86E+12,PK,5,40,200,200,0,35,175
05 01 2020,12:12:27,53749,10619,2,8.86E+12,PK,4,145,580,580,0,109,436
05 01 2020,12:10:24,53749,10619,2,8.86E+12,PK,5.7,140,798,798,0,88,501.6
05 01 2020,12:10:32,53749,10619,2,8.86E+12,PK,1,95,95,95,0,69,69
05 01 2020,12:10:49,53749,10619,2,8.86E+12,PK,1.6,155,248,248,0,101,161.6
05 01 2020,12:10:55,53749,10619,2,8.86E+12,PK,5,48,240,240,0,30,150
05 01 2020,12:11:16,53749,10619,2,8.86E+12,PK,1,40,40,40,0,35,35
05 01 2020,12:11:23,53749,10619,2,8.86E+12,PK,1,78,78,78,0,60.5732,60.57
05 01 2020,12:13:53,53750,,,8.86E+12,PK,3,145,435,435,0,109,327
05 01 2020,12:13:59,53750,,,8.86E+12,PK,3,130,390,390,0,92,276
05 01 2020,12:14:05,53750,,,8.86E+12,PK,3,150,450,450,0,109,327
05 01 2020,12:14:35,53750,,,8.86E+12,PK,1,495,495,495,0,381.745,381.75
05 01 2020,12:20:35,53751,,,8.85E+12,PK,2,100,186.92,200,13.08,83.4584,166.92
05 01 2020,12:20:42,53751,,,8.85E+12,PK,1,190,177.57,190,12.43,142.0569,142.06
05 01 2020,12:20:51,53751,,,8.85E+12,PK,1,220,205.6,220,14.4,166.028,166.03
05 01 2020,12:21:53,53752,,,8.86E+12,PK,2,445,890,890,0,381.596,763.19
05 01 2020,12:26:43,53753,,,8.86E+12,PK,1,140,140,140,0,104,104
05 01 2020,12:30:54,53754,,,2.99E+12,PK,20,81,1620,1620,0,72.8992,1457.98
05 01 2020,12:33:53,53755,,,8.85E+12,PK,1,100,93.46,100,6.54,83.4584,83.46
05 01 2020,12:40:29,53756,,,8.86E+12,PK,2,140,280,280,0,92,184
05 01 2020,12:45:10,53757,10505,2,8.86E+12,PK,30,45,1350,1350,0,30,900
05 01 2020,12:45:19,53757,10505,2,8.86E+12,PK,40,100,4000,4000,0,92,3680
05 01 2020,13:09:07,53758,,,8.86E+12,PK,1,78,78,78,0,60.5732,60.57
05 01 2020,13:18:44,53759,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
05 01 2020,13:18:47,53759,,,8.86E+12,PK,6,69,414,414,0,60.5732,363.44
05 01 2020,13:25:37,53760,,,8.86E+12,PK,15,130,1950,1950,0,98,1470
05 01 2020,13:40:31,53761,10610,2,8.86E+12,KG,40,35,1400,1400,0,29.5,1180
05 01 2020,14:22:41,53762,13526,2,8.86E+12,PK,90,150,13500,13500,0,109,9810
05 01 2020,14:22:47,53762,13526,2,8.86E+12,PK,10,145,1450,1450,0,109,1090
05 01 2020,14:22:52,53762,13526,2,8.86E+12,PK,10,130,1300,1300,0,92,920
05 01 2020,14:23:36,53763,,,8.86E+12,PK,1,135,135,135,0,92,92
05 01 2020,14:30:39,53764,,,8.85E+12,PK,1,220,205.61,220,14.39,166.028,166.03
05 01 2020,14:30:59,53764,,,8.86E+12,PK,1,102,102,102,0,80.5368,80.54
05 01 2020,14:40:53,53765,10525,4,8.86E+12,PK,6,390,2340,2340,0,381,2286
05 01 2020,14:47:29,53766,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
05 01 2020,14:52:27,53767,10597,2,8.86E+12,KG,2,140,280,280,0,106,212
05 01 2020,14:55:38,53768,,,8.86E+12,PK,1,155,155,155,0,106,106
05 01 2020,15:03:20,53769,,,8.86E+12,PK,14.3,145,2073.5,2073.5,0,102.0003,1458.6
05 01 2020,15:05:47,53770,,,8.86E+12,PK,2,165,330,330,0,102.0003,204
05 01 2020,15:06:25,53771,,,8.86E+12,PK,3,130,390,390,0,92,276
05 01 2020,15:06:56,53772,,,2.99E+12,PK,50,72,3600,3600,0,72.9,3645
05 01 2020,15:07:42,53773,10603,4,2.99E+12,PK,50,90,4500,4500,0,72.9,3645
05 01 2020,15:10:13,53773,10603,4,2.99E+12,PK,50,78,3900,3900,0,72.8992,3644.96
05 01 2020,15:07:55,53773,10603,4,2.99E+12,PK,150,69,10350,10350,0,72.9,10935
05 01 2020,15:08:04,53773,10603,4,2.99E+12,PK,250,66,16500,16500,0,72.9,18225
05 01 2020,15:09:21,53773,10603,4,2.99E+12,PK,150,60,9000,9000,0,72.9,10935
05 01 2020,15:17:03,53774,10504,2,8.86E+12,PK,5,390,1950,1950,0,381,1905
05 01 2020,15:17:08,53774,10504,2,8.86E+12,PK,5,48,240,240,0,30,150
05 01 2020,15:17:17,53774,10504,2,8.85E+12,PK,3,100,280.37,300,19.63,83.4584,250.38
05 01 2020,15:17:28,53774,10504,2,8.86E+12,PK,5,130,650,650,0,92,460
05 01 2020,15:21:58,53775,10527,2,8.86E+12,PK,2,400,800,800,0,381,762
05 01 2020,15:22:52,53776,,,8.86E+12,PK,2,108,216,216,0,79.6857,159.37
05 01 2020,15:45:13,53777,,,8.85E+12,PK,1,100,93.46,100,6.54,83.4584,83.46
05 01 2020,16:20:30,53778,,,8.86E+12,PK,1,135,135,135,0,98,98
05 01 2020,16:20:34,53778,,,8.86E+12,PK,1,135,135,135,0,92,92
05 01 2020,16:20:48,53778,,,8.86E+12,KG,1,140,140,140,0,106,106
05 01 2020,16:20:58,53778,,,8.86E+12,PK,1,28,28,28,0,15.2261,15.23
05 01 2020,16:21:04,53778,,,8.86E+12,PK,2,78,156,156,0,60.5732,121.15
05 01 2020,16:26:31,53779,,,8.86E+12,PK,2,400,800,800,0,381,762
05 01 2020,16:26:52,53780,,,8.85E+12,PK,3,100,280.37,300,19.63,83.4584,250.38
05 01 2020,16:46:12,53781,,,8.86E+12,PK,1,155,155,155,0,106,106
05 01 2020,16:46:19,53781,,,8.85E+12,หลอด,1,7.5,7.01,7.5,0.49,4.4247,4.42
05 01 2020,16:46:55,53782,,,8.86E+12,PK,100,16,1600,1600,0,12.3255,1232.55
05 01 2020,16:46:59,53782,,,8.86E+12,ก้อน,100,3.5,350,350,0,1.8537,185.37
05 01 2020,16:47:04,53782,,,8.86E+12,KG,30,50,1500,1500,0,45.4628,1363.88
05 01 2020,16:48:26,53782,,,8.86E+12,PK,20,66,1320,1320,0,60.5732,1211.46
05 01 2020,16:49:00,53783,,,8.86E+12,PK,100,16,1600,1600,0,12.3255,1232.55
05 01 2020,16:49:08,53783,,,8.86E+12,ก้อน,50,3.5,175,175,0,1.8537,92.69
05 01 2020,16:50:00,53783,,,8.86E+12,KG,30,54,1620,1620,0,45.4628,1363.88
05 01 2020,16:49:21,53783,,,8.86E+12,PK,10,70,700,700,0,65.611,656.11
05 01 2020,16:54:06,53784,,,8.86E+12,PK,1,140,140,140,0,95.9631,95.96
05 01 2020,16:54:28,53784,,,8.85E+12,หลอด,2,7.5,14.02,15,0.98,4.4247,8.85
05 01 2020,16:54:21,53784,,,8.86E+12,PK,1,135,135,135,0,92,92
05 01 2020,16:55:37,53785,,,8.86E+12,KG,1,139,129.91,139,9.09,117,117
05 01 2020,16:55:43,53785,,,8.86E+12,PK,1,150,150,150,0,109,109
05 01 2020,17:09:16,53786,10612,2,8.85E+12,PK,5,205,957.94,1025,67.06,166.028,830.14
05 01 2020,17:09:25,53786,10612,2,1.71E+12,PK,2,115,214.96,230,15.04,77.57,155.14
05 01 2020,17:09:34,53786,10612,2,8.86E+12,PK,1,385,385,385,0,382.78,382.78
05 01 2020,17:10:45,53787,,,8.86E+12,PK,1,155,155,155,0,109,109
05 01 2020,17:11:02,53787,,,1.71E+12,PK,1,115,107.48,115,7.52,77.57,77.57
05 01 2020,17:11:26,53787,,,8.86E+12,PK,2,135,270,270,0,92,184
05 01 2020,17:11:35,53787,,,8.86E+12,PK,1,140,140,140,0,104,104
05 01 2020,17:15:37,53788,,,8.86E+12,PK,1,140,140,140,0,95.9631,95.96
05 01 2020,17:15:52,53788,,,8.86E+12,PK,2,140,280,280,0,104,208
05 01 2020,17:16:06,53788,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
05 01 2020,17:17:06,53789,,,8.86E+12,PK,1,125,116.82,125,8.18,116.6394,116.64
05 01 2020,17:19:38,53790,,,8.86E+12,KG,2.1,68,142.75,142.75,0,55,115.5
05 01 2020,17:21:14,53791,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
05 01 2020,17:27:00,53792,10564,1,8.86E+12,KG,10,35,350,350,0,29.5,295
05 01 2020,17:30:52,53793,,,8.86E+12,KG,10,35,350,350,0,29.5,295
05 01 2020,17:31:08,53793,,,8.86E+12,PK,1,495,495,495,0,381.745,381.75
05 01 2020,17:32:02,53793,,,8.86E+12,PK,10,25,250,250,0,12.3255,123.26
05 01 2020,17:41:21,53794,,,8.86E+12,PK,1,57,57,57,0,28.5685,28.57
05 01 2020,17:48:09,53795,,,2.99E+12,PK,50,96,4800,4800,0,72.9,3645
05 01 2020,17:50:41,53796,,,8.86E+12,PK,1,445,445,445,0,381.596,381.6
05 01 2020,17:57:20,53797,,,8.86E+12,PK,1,78,78,78,0,60.5732,60.57
06 01 2020,07:56:09,53798,,,8.86E+12,PK,1,130,130,130,0,92,92
06 01 2020,08:12:52,53799,,,8.86E+12,PK,5,48,240,240,0,30,150
06 01 2020,08:40:14,53800,,,8.86E+12,PK,20,16,320,320,0,12.1273,242.55
06 01 2020,08:56:57,53801,,,8.86E+12,PK,1,130,130,130,0,92,92
06 01 2020,09:02:21,53802,,,8.86E+12,PK,1,102,102,102,0,79.9306,79.93
06 01 2020,09:18:32,53803,10531,1,8.86E+12,PK,2,108,216,216,0,79.6857,159.37
06 01 2020,09:18:44,53803,10531,1,8.86E+12,PK,1,140,140,140,0,104,104
06 01 2020,09:19:06,53803,10531,1,8.85E+12,PK,1,80,74.77,80,5.23,53.138,53.14
06 01 2020,09:41:43,53804,10616,1,8.86E+12,PK,7,120,840,840,0,89.9996,630
06 01 2020,09:49:41,53805,,,8.86E+12,PK,20,70,1400,1400,0,42,840
06 01 2020,09:55:31,53806,10580,2,8.86E+12,PK,5,48,240,240,0,30,150
06 01 2020,09:55:43,53806,10580,2,8.86E+12,PK,10,25,250,250,0,14,140
06 01 2020,09:55:54,53806,10580,2,8.86E+12,PK,1,135,135,135,0,98,98
06 01 2020,09:56:01,53806,10580,2,8.86E+12,PK,1,95,95,95,0,69,69
06 01 2020,09:59:28,53807,,,8.86E+12,PK,5,25,125,125,0,14,70
06 01 2020,09:59:54,53807,,,8.86E+12,KG,23.5,68,1598,1598,0,55,1292.5
06 01 2020,10:01:28,53808,10583,2,8.86E+12,PK,7.5,68,510,510,0,55,412.5
06 01 2020,10:06:03,53809,10578,2,8.86E+12,PK,15.9,68,1081.25,1081.25,0,55,874.5
06 01 2020,10:07:38,53809,10578,2,8.86E+12,PK,19,68,1292,1292,0,61,1159
06 01 2020,10:16:59,53810,,,5.99E+12,PK,20,70,1308.41,1400,91.59,60,1200
06 01 2020,10:17:43,53811,10573,2,8.86E+12,PK,3.23,150,484.5,484.5,0,101.9999,329.46
06 01 2020,10:18:44,53812,10584,2,8.86E+12,PK,2,140,280,280,0,95.3408,190.68
06 01 2020,10:18:50,53812,10584,2,8.86E+12,PK,1,28,28,28,0,15.0611,15.06
06 01 2020,10:20:49,53812,10584,2,8.86E+12,PK,11.26,68,765.75,765.75,0,55,619.3
06 01 2020,10:22:03,53813,10590,2,1.83E+12,PK,12.2,92,1122.5,1122.5,0,83.1805,1014.8
06 01 2020,10:22:08,53813,10590,2,8.86E+12,PK,25,45,1125,1125,0,30,750
06 01 2020,10:22:16,53813,10590,2,8.86E+12,PK,6,135,810,810,0,98,588
06 01 2020,10:22:22,53813,10590,2,8.86E+12,PK,4,90,360,360,0,69,276
06 01 2020,10:22:34,53813,10590,2,8.86E+12,PK,20,3.75,75,75,0,1.8321,36.64
06 01 2020,10:28:08,53813,10590,2,8.86E+12,PK,3,140,420,420,0,95.3408,286.02
06 01 2020,10:28:41,53814,,,8.86E+12,PK,1,108,108,108,0,79.6857,79.69
06 01 2020,10:32:17,53815,10598,2,8.86E+12,PK,6,145,870,870,0,102.0004,612
06 01 2020,10:33:06,53816,,,8.86E+12,PK,2,400,800,800,0,381,762
06 01 2020,10:34:32,53817,10520,2,8.86E+12,PK,2,445,890,890,0,381.4257,762.85
06 01 2020,10:36:48,53818,10581,2,8.86E+12,PK,15,45,675,675,0,30,450
06 01 2020,10:38:10,53819,,,8.86E+12,PK,1,155,155,155,0,109,109
06 01 2020,10:38:18,53819,,,8.86E+12,PK,2,78,156,156,0,60.5655,121.13
06 01 2020,10:39:05,53820,,,8.86E+12,PK,10,25,250,250,0,15.0611,150.61
06 01 2020,10:39:11,53820,,,8.86E+12,PK,3,140,420,420,0,95.3408,286.02
06 01 2020,10:40:03,53821,10589,2,8.86E+12,PK,5,48,240,240,0,30,150
06 01 2020,10:40:10,53821,10589,2,8.86E+12,PK,6,135,810,810,0,98,588
06 01 2020,10:41:06,53822,10619,2,8.86E+12,PK,2,150,300,300,0,109,218
06 01 2020,10:41:14,53822,10619,2,8.86E+12,PK,2,135,270,270,0,98,196
06 01 2020,10:41:52,53822,10619,2,8.86E+12,PK,5,53,265,265,0,34,170
06 01 2020,10:43:13,53823,10504,2,8.86E+12,PK,5,48,240,240,0,30,150
06 01 2020,10:43:24,53823,10504,2,8.86E+12,PK,1,400,400,400,0,381,381
06 01 2020,10:43:32,53823,10504,2,8.86E+12,PK,10,100,1000,1000,0,92,920
